name;Crowd_limit;Nazev_okruhu;Time_duration;Tours_content
Náměšť nad Oslavou;max. 45 osob;Reprezentační prostory (základní okruh);délka 55 minut;Tento prohlídkový okruh představuje zámeckou kapli, vnitřní arkádové nádvoří a reprezentační prostory I. poschodí včetně bývalé prezidentské pracovny. Kromě unikátního barokního mobiliáře kaple můžete obdivovat zejména ojedinělou kolekcí tapisérií, doplněním je též jedinečná expozice o stolování na zámku v Náměšti a nově zpřístupněná bývalá zimní zahrada s terasami na jižní straně zámku.
Lysice;max. 30 osob;Reprezentační prostory (základní okruh);délka 50 minut;Prohlídka reprezentačních prostor, knihovny Marie von Ebner Eschenbach, velkého salónu, dámských apartmá, orientálního salónu, zbrojnice a knihovny Erwina Dubského.
Rájec nad Svitavou;max. 35 osob;Reprezentační prostory (základní okruh I.);délka 40 minut;V původních interiérech zámeckého přízemí se nachází místnosti užívané především pro reprezentační účely šlechtické rodiny Salmů. Velká jídelna, rodinná galerie, zahradní sál nebo knihovny. Základní okruh seznamuje návštěvníky nejen s průřezem historií rodu, ale také se stavební historií zámku. Okruh je bezbariérový (přístupný pouze na mechanickém invalidním vozíku), je přístupný pouze s průvodcem.
Hluboká nad Vltavou;max. 55 osob;Reprezentační pokoje (základní okruh);délka 55 minut;Trasa nazvaná Reprezentační pokoje ukazuje tzv. piano nobile hlubockého zámku: ranní salon, čítárnu, kuřácký salon, malou a velkou jídelnu, knihovnu spolu s osobními pokoji kněžny Eleonory a expozici zbraní – předsíň zbrojnice a zámeckou zbrojnici. Stěny a stropy interiérů jsou bohatě zdobeny dřevořezbami a obloženy ušlechtilým dřevem. Nejcennější nábytek se nachází v ranním salonu. Některé místnosti jsou zdobeny obrazy evropských mistrů 16. až 18. století, lustry, vitrážemi a keramikou z Delft. Portréty na stěnách znázorňují nejvýznamnější členy rodu Schwarzenbergů. Zajímavá je ukázka cenného mobiliáře, který soustředil knížecí rod Schwarzenbergů. Jde o luxusně zařízené interiéry z 19. století včetně 10 723 knih, uložených v policích zámecké knihovny. Bohatá sbírka zbraní patří mezi nejcennější kolekce v českých zámeckých sbírkách.
Jánský Vrch;max. 35 osob;Reprezentační místnosti a expozice dýmek (základní okruh);délka 50 minut;Prohlídkový okruh vyniká zachovaným původním vybavením převážně z 19. století, které bylo nově doplněno pouze některými předměty užitého umění a obrazy. K nejcennějším památkám patří plastiky a obrazy ve vybavení horní zámecké kaple, od pozdní gotiky až k baroku. Unikátní jsou také původní 180 až 200 let staré záclony a zajímavým obohacením prohlídky je rovněž jedna z největších sbírek dýmek v ČR.
Vranov nad Dyjí;max. 25 osob;Reprezentační interiéry (základní okruh);délka 45 minut;Prohlídkový okruh zavede návštěvníky do nejhonosnějších interiérů a seznámí je s historií zámku během působení hraběcího rodu Althannů. V období 17. a 18. století získal zámek zásluhou velkolepých vrcholně barokních přestaveb a pozdějších klasicistních úprav svou současnou podobu.
Hradec nad Moravicí;max. 29 osob;Reprezentační a soukromé salony (základní okruh I.);délka 70 minut;Hlavní okruh obsahuje společenské salony a interiéry knížecího bytu.
Stekník;max. 20 osob;Reprezentační a soukromé prostory (základní okruh);délka 45 minut;Prohlídkový okruh připomene osudy rodiny švýcarského konzula Gerolda Déteindre, která vlastnila zámek v letech 1907–1949. Těšit se můžete na interiéry soukromých salonů v západním křídle, jejichž součástí je pánský pokoj, rohový pokoj, zámecká kuchyně a jídelna. Součástí trasy jsou také dva reprezentační prostory sala terreny v přízemí a hlavního sálu v patře zámku, prohlídka je ukončena návštěvou kaple Navštívení Panny Marie. Nový prohlídkový okruh vznikl v rámci II. etapy Obnovy interiérů zámku Stekník, financované ze státního programu MK ČR v letech 2016–2019.
Lemberk;max. 40 osob;Reprezentační a soukromé prostory (základní okruh);délka 60 minut;Okruh je zaměřen na historii Lemberka a obsahuje hlavní reprezentační místnosti zámku, jako je zámecká kaple Seslání Ducha svatého, bajkový sál s renesančním kazetovým stropem z roku 1610, rytířský sál s barokní štukovou výzdobou a apartmán posledních majitelů zámku Clam-Gallasů.
Velhartice;max. 20 osob;Renesanční zámek;délka 50 minut;V zámku vás čeká renesanční zázemí šlechtické rodiny žijící v polovině 17. století. Rodinná místnost, ložnice šlechtičny, komůrka chůvy, jídelna, herna, taneční sál a lovecká chodba. Poslední prohlídka okruhu je možná hodinu před koncem otevírací doby areálu.
Telč;max. 40 osob;Renesanční sály (základní okruh);délka 50 minut;Původně gotický hrad byl přestavěn v polovině 16. století na renesanční zámek. Zasloužil se o to tehdejší majitel panství Zachariáš z Hradce, který byl ovlivněný italskou renesancí. Kromě zachovaného exteriéru jsou zde dochovány původní interiéry v neporušené podobě. Nejhonosnější místností je Zlatý sál s kazetovým vyřezávaným stropem.
Český Krumlov;max. 45 osob;Renesanční a barokní apartmány (základní okruh I.);délka 55 minut;Prohlídka původních historických zámeckých interiérů z doby renesance a baroka. Součástí prohlídkové trasy je mimo jiné zámecká kaple sv. Jiří a proslulý rokokový Maškarní sál.
Bečov nad Teplou;max. 128 osob;Relikviář sv. Maura;délka 60 minut;Vydejte se na cestu a prožijte příběh relikviáře svatého Maura! Muzejně-galerijní expozice vám představí ojedinělou románskou zlatnickou památku nevyčíslitelné hodnoty – relikviář svatého Maura. Doprovodná expozice vás poté provede dějinami tohoto skvostu. Po expozici se prochází každý sám, prohlídka je bez průvodce. Texty nacházející se v expozici jsou v češtině a angličtině.
Duchcov;max. 45 osob;Reinerova freska a proměny zámeckého areálu;délka 35 minut;V dubnu je okruh uzavřen. Prohlídka pavilonu pro Reinerovu fresku, s výkladem o barokním panském špitálu, proměnách zahrady a důlní činnosti.
Horšovský Týn;max. 10 osob;Purkrabství (výběrový okruh);délka 60 minut;Společná expozice Městského muzea Horšovský Týn a státního zámku. Jízdárna, ochozová chodba, historické interiéry purkrabského paláce s bohatým vybavením. Celkem je na tomto prohlídkovém okruhu 73 schodů.
Nové Hrady;neomezeně;Příkop (III. prohlídkový okruh bez průvodce);délka 20 minut;Předpokládá se, že příkop existoval již v samém počátku existence hradu a to v druhé polovině třináctého století. Upravován byl ve druhé polovině čtrnáctého století a zvětšen ve druhé polovině patnáctého století. Dnešní hloubka je pod severovýchodním mostem 14,5 metrů, pod jižním mostem 10,5 metrů, šířka příkopu je 23 metrů.
Červené Poříčí;max. 1 osob;Předzámčí - výstavní expozice;délka 0 minut;Vstup do areálu Státního zámku Červené Poříčí spojený s prohlídkou výstavní expozice DĚTI ZE ZLATÉ KOLÉBKY ANEB RANÉ DĚTSTVÍ VE ŠLECHTICKÝCH RODINÁCH V „DLOUHÉM“ 19. STOLETÍ symbolizuje znovuzrození zámku Červené Poříčí, resp. zpřístupnění její první zrekonstruované části – předzámčí v roce 2022. Hlavní linkou výstavy je spojení Červeného Poříčí s rodem Habsburků, konkrétně s osobou císaře Františka I. a jeho vnuka Napoleona II. Orlíka, syna Napoleona I. Bonaparte a Marie Luisy Habsbursko-Lotrinské. V širších souvislostech výstava detailně rozebírá dětství ve šlechtických rodinách z pohledu všech zúčastněných, tzn. od matky, která počala, přes porodníka, otce, kmotry, služebné, guvernantky až po učitele. Pozornost je věnována kulturnímu i sociálnímu významu křtu, ale i garderobě panských dítek.
Lemberk;max. 25 osob;Provozní prostory zámku;délka 30 minut;Okruh je zaměřen především na provozní místnosti zámku. Jedná se o vrchnostenské byty a kancelář, černou kuchyni, malou zbrojnici a Zdislavinu světničku, která vznikla v 17. století při barokní přestavbě zámku jako památka na život svaté Zdislavy, manželky zakladatele hradu Havla z Lemberka.
Buchlov;max. 35 osob;Procházka starým hradem (základní I.);délka 50 minut;Základní trasa s českým výkladem. Jen s průvodcem. Gotické a renesanční prostory. Umění a architektura. Počet schodů: 205 (bez točitého schodiště).
Ratibořice;max. 25 osob;Prohlídka zámku pro děti s komtesou Hortensií;délka 30 minut;Prohlídky určené pro rodiče s dětmi od 4 let v doprovodu schovanky paní kněžny, komtesy Hortenzie.
Zahrady pod Pražským hradem;max. 150 osob;Prohlídka Zahrad;délka 90 minut;Prohlídka bez průvodce tvoří okruh napříč zahradami na svahu pod Pražským hradem. V zimním období jsou zahrady na Malé Straně pro veřejnost uzavřeny, stejně jako za špatného počasí. Ledebourská a Malá Pálffyho zahrada jsou nově zrekonstruované a jsou pro návštěvníky přístupné stejně jako Velká Pálffy zahrada a Malá Fürstenberská zahrada.
Hamousův statek ve Zbečně;max. 50 osob;Prohlídka statku (základní okruh);délka 20 minut;Hamousův statek s číslem popisným 22 ve Zbečně proti kostelu sv. Martina řadíme mezi nejstarší veřejnosti zpřístupněné památky lidové architektury ve Středních Čechách. Jedná se o dům převážně roubený, v minulosti i dnes relativně velký, reprezentující způsob výstavby v bohatších usedlostech, který navazuje na středověké stavební tradice.
Sychrov;max. 50 osob;Prohlídka s princeznou;délka 25 minut;Prohlídková trasa určená pro nejmenší návštěvníky zámku Sychrov.
Sychrov;max. 50 osob;Prohlídka s čertem / čerticí;délka 25 minut;Prohlídková trasa určená pro nejmenší návštěvníky zámku Sychrov.
Kratochvíle;max. 25 osob;Prohlídka renesanční vily (základní okruh);délka 60 minut;Prohlídka renesanční vily zámku. Vstup do zámecké zahrady je v rámci tohoto okruhu zdarma.
Buchlov;max. 35 osob;Prohlídka MŠ (výběrový IV.);délka 60 minut;Okruh s českým výkladem upraveným pro skupiny dětí mateřských škol. Jen s průvodcem. Prohlídka je vhodná pro děti od 3 do 7 let. Pouze organizované skupiny dětí MŠ s pedagogickým dozorem.
kostel Nanebevzetí Panny Marie v Mostě;max. 15 osob;Prohlídka krovů kostela;délka 30 minut;Prohlídka historických krovů kostela
Kratochvíle;max. 50 osob;Prohlídka kostela Narození Panny Marie;délka 15 minut;Prohlídka kostela Narození Panny Marie - pouze pro organizované, předem domluvené skupiny. Vstup do zámecké zahrady je v rámci tohoto okruhu zdarma.
kostel Nanebevzetí Panny Marie v Mostě;max. 40 osob;Prohlídka kaple Svatého Ducha;délka 20 minut;Kaple je nejstarší dochovanou památkou v Mostě a řadíme ji mezi významné památky v Čechách.
Trosky;neomezeně;Prohlídka hradu pro MŠ;délka 40 minut;"Prohlídky pro organizované skupiny dětí z mateřských škol, návštěvní doba je stejná jako u základního okruhu ""Celým hradem"""
Krakovec;max. 50 osob;Prohlídka hradu (základní okruh);délka 0 minut;Prohlídková trasa uvádí návštěvníky do výjimečné atmosféry doby Václava IV., doby gotického manýrismu, doby krásného slohu a seznamuje s vrcholnou architektonickou jednotností, originálností, určitou „nepochopitelnou složitostí“ i tvarovou bohatostí Krakovce, včetně vyvstavšího obrazu Jana Husa a je určená pro všechny příchozí (silně zdravotně omezení jednotlivci se nedostanou bez pomoci do sklepních prostor).
Nový Hrádek u Lukova;max. 20 osob;Prohlídka hradu (základní okruh);délka 50 minut;Návštěvníci shlédnou unikátně dochovaný hradební systém staršího hradu a mladší trojpodlažní hrad, ze kterého se otevírá jedinečná vyhlídka na údolí řeky Dyje. Zachovalá zřícenina hradu plášťového typu, který nechal vystavět ve 14. století bratr Karla IV., moravský markrabě Jan Jindřich Lucemburský, jako své lovecké sídlo. Dnes je Nový Hrádek unikátním spojením historických hodnot a přírody Národního parku Podyjí. Žije zde největší had České republiky užovka stromová, sklepy slouží jako zimoviště netopýrů, na nádvoří roste vzácná divizna nádherná. Z nejvyššího patra hradu se otevírá jedinečná vyhlídka na údolí řeky Dyje.
Grabštejn;max. 30 osob;Prohlídka grabštejnského sídla (základní okruh);délka 60 minut;Prohlídka vede historickými interiéry od 16. do 19. století, seznámí vás s majiteli hradu a jejich osudy v průběhu staletí.
Velhartice;neomezeně;Prohlídka areálu a pivovaru - bez průvodce;délka 50 minut;"Prohlídka bez průvodce zahrnuje venkovní prostory horního a spodního nádvoří, bývalý hradní pivovar s interaktivní výstavou, zbytky vinopalny, zadní parkán, či vyhlídku do údolí říčky Ostružné. V areálu je rozmístěno i několik her, které je možné si zahrát. Od jara 2021 je otevřena interaktivní výstava - ""KRAJINA MÍRU, POLE VÁLKY"" - vztahující se ke 30 leté válce a Martinu Huertovi - staviteli velhartického zámku."
Litomyšl;max. 20 osob;Proč je zámek UNESCO;délka 20 minut;Samostatná prohlídka nové interaktivní expozice ve 2. patře zámku mapující historii a architekturu zámku s důrazem na památkové hodnosty, pro které byl roku 1999 zapsán na Seznam světového a kulturního dědictví UNESCO. Okruh je určen pro návštěvníky po zakoupení vstupenky na některou z prohlídkových tras.
Vizovice;max. 15 osob;Privátní pokoje;délka 40 minut;Instalace ukazuje dobovou atmosféru obytných prostor zámku ve druhé polovině devatenáctého a první polovině dvacátého století. V intimním prostředí menších pokojíků a salonků je vedle původního nábytku a další části obrazové sbírky také velké množství autentických osobních předmětů bývalých majitelů. Mezi nejzajímavější patří také kolekce dochovaných stolních společenských her. Prohlídka zahrnuje 14 pokojů. Instalace byla provedena na přelomu roku 2000 a 2001. Podkladem pro ni se staly archiválie a materiály z pozůstalosti po posledních majitelích zámku, dobová vyobrazení historických interiérů a především osobní korespondence současné kastelánky s tehdy posledním žijícím potomkem rodiny Franzim Boos-Waldeckem.
Rájec nad Svitavou;max. 35 osob;Privátní a hostinské apartmány (základní okruh II.);délka 40 minut;V prvním patře zámku nachází nově otevřené soukromé obytné apartmány a hostinské pokoje z poloviny 19. století, kdy je obýval především pátý majitel rájeckého panství kníže Karel František ze Salmu. Okruh představuje soukromé ložnice, salony, rodinnou jídelnu nebo unikátní klenotnici. Je otevřen od roku 2011. Okruh není bezbariérový, je přístupný pouze s průvodcem.
Bouzov;neomezeně;Poznejte hrad Bouzov;délka 30 minut;Poznávací trasa hradním parkem.
Kratochvíle;neomezeně;Pouť;délka 20 minut;Vstup do zámecké zahrady v den pouti, kdy je v zahradě pořádán jarmark a je pro návštěvníky připraveno mnoho překvapení. Samostatná procházka - prohlídka bez průvodce
Švihov;neomezeně;POPELKA – Za tajemstvím Popelčina střevíčku (výstava bez průvodce);délka 30 minut;Projděte si samostatně příjemnou výstavu v Bílé baště, která je věnována slavnému filmu Tři oříšky pro Popelku. Výstava je určena hlavně dětem, které si během prohlídky mohou vyplnit jednoduchou tajenku a odpovídat na hádanky rozmístěné v expozici. Na své si ale jistě přijdou i dospělí, kteří se řadí k milovníkům této známé pohádky. Prohlédnout si můžete například původní scénář k filmu, fotografie z natáčení nebo ukázky z filmu a několik filmových scén. Nakonec nezapomeňte a vyzkoušejte Popelčin střevíček.
Slatiňany;max. 16 osob;Pokrok nezastavíš!;délka 90 minut;Speciální kastelánská prohlídka Vás zavede na netradiční a běžně nepřístupná místa zámku. Zámkem doslova od sklepa po půdu, od gotiky až do současnosti.
Telč;max. 20 osob;Poklady za oponou;délka 50 minut;Prostory instalovaného depozitáře v sobě ukrývají řadu předmětů, jejichž povaha, stav, či míra ochrany nedovolují běžnou prezentaci v rámci interiérových instalací zámku. Spolu s předměty je také představen restaurátorský zásah na vybraných předmětech, které jsou v depozitáři uložené. Konzervátorská a restaurátorská práce je nedílnou součástí péče o svěřený mobiliář, čímž je možné zajistit jeho existenci i pro budoucí generace. Prohlídka tak dává možnost mj. poznat dnes již nevšední řemeslné a umělecké techniky, jichž se při záchranných pracích na mobiliáři stále využívá.
Hradec nad Moravicí;max. 29 osob;Poklady hradeckého zámku;délka 80 minut;Exkluzivní prohlídka dobové expozice rodové umělecké sbírky a loveckých pokojů se zbrojnicí. Spatříte ty nejcennější ukázky uměleckého řemesla od 17. do 19. století – včetně nábytku, hodin, keramiky, skla, zlatnictví a zbraní. Vrcholem nově upravených interiérů je Orientální salon a zbrojnice. Prohlídky vždy v 10:00, 13:00 a 15:00 hod.
Jánský Vrch;max. 100 osob;Pohádkový park;délka 120 minut;Pohádková trasa v zámeckém parku pro rodiny s dětmi.
Sychrov;max. 50 osob;Pohádka v zámeckých komnatách;délka 55 minut;Pohádková prohlídka nejen pro rodiny s dětmi.
Červená Lhota;max. 10 osob;Podkrovní pokoje;délka 30 minut;Pokoje dětí posledních majitelů zámku s historickými hračkami. Podkroví zámku vzniklo až při poslední přestavbě v letech 1902 až 1910. Jde o největší půdní vestavbu z korku na světě.
Litice;max. 35 osob;Po stopách hradní architektury;délka 120 minut;Prohlídka je zaměřena na architektonické a obranné prvky, které se na hradě dochovaly a rekonstrukci jejich stavebního významu. Čeká vás výklad o zdrojích pitné vody na hradě a hádanka o účelu brány vedoucí do svahu. Prohlídka trvá přibližně 120 minut.
Buchlov;max. 30 osob;Po stopách buchlovského mordu (mimořádný II.);délka 120 minut;Edukační program Po stopách buchlovského mordu čerpá z bohaté a také trochu tajemné historie hradu Buchlova. Navazuje na učivo dějepisu druhého stupně základních škol a pomáhá žákům rozšířit si dosavadní znalosti nejen z tohoto předmětu, ale také pomocí metod dramatické výchovy vzbudit zájem o historii a památky.
Veltrusy;max. 25 osob;Piano nobile;délka 90 minut;Prohlídka probíhá pouze jednou denně a provede návštěvníky celým prvním patrem zámku. Piano nobile je spojení dvou hlavních prohlídkových okruhů v jeden a představí všechny reprezentativní a soukromé místnosti prvního patra.
Buchlovice;neomezeně;Park;délka 0 minut;Prohlídka zámku zahrnuje i vstup do parku. Uvedený čas je poslední možnost zakoupení vstupenky na pokladně. Areál zámeckého parku je nutno opustit nejpozději hodinu poté. V případě oblevy, náledí, sněhové pokrývky, deště a silného větru je park pro veřejnost uzavřen.
Bítov ;max. 25 osob;Palác (základní okruh);délka 60 minut;Palácové interiéry vás upoutají rozsáhlou novogotickou iluzivní výmalbou jednotlivých sálů a salonků. V interiérech prezentujeme život hrabat Daunů a rodiny posledního majitele barona Haase. Výmalba k nerozeznání napodobuje obklady stěn dřevem, kamenem či štukem. Místnosti jsou vybaveny stylovým, historickým nábytkem, odrážejícím jednotlivá období slohů. Ve druhém patře se nachází rozsáhlá zoologická sbírka tuzemských i cizokrajných zvířat a trofejí, založená bratry Vladimírem a Otakarem z Daunu. Dále se zde nachází největší sbírka vycpaných psů na světě založená posledním soukromým majitelem hradu baronem J. Haasem ml. Prohlídka končí v dosud funkční historické hradní kuchyni, kterou také několikrát v roce ukazuje v provozu např. na Velikonoce, vánoční prohlídky apod.
Rabí;max. 20 osob;PALÁC (základní okruh);délka 45 minut;HISTORIE HRADU A JEHO STAVEBNÍ VÝVOJ
Hrádek u Nechanic;max. 15 osob;Osobní život šlechty;délka 50 minut;V původních soukromých pokojích je prezentována ukázka bydlení Harrachů na Hrádku ve druhé polovině 19. století. Okruh se znovu otevře 1. května 2025.
Raduň;neomezeně;Oranžérie s okrasnou zahradou C;délka 45 minut;Zámecká novoklasicistní oranžerie z let 1825 až 1826 se nachází sto metrů od zámku. K elegantními přízemnímu objektu s vysokými okny přiléhal rozlehlý parter, ve kterém byly letněny citrusové dřeviny, vavřínové a palmové stromy, ale i další cizokrajná a domácí vegetace. Na oranžerii navazuje okrasná a bylinková zahrada se sadem.
Jezeří;max. 25 osob;Okruh s výhledem;délka 30 minut;NEKOMENTOVANÁ PROHLÍDKA S DOPROVODEM - nabízí jedinečný výhled z druhého patra jihovýchodního křídla do krajiny, včetně velkolomu ČSA, který v 70. letech zcela změnil tvář krajiny. Jak vypadalo kdysi okolí zámku se Vám pokusí přiblížit tematická instalace, věnovaná zaniklým obcím, jezeru a zámeckému parku.
Jezeří;neomezeně;Okruh bez průvodce – přízemí a sklepy;délka 30 minut;NEKOMENTOVANÁ PROHLÍDKA BEZ DOPROVODU - tento prohlídkový okruh absolvujete bez přítomnosti a výkladu průvodce, se zapůjčeným textem. Prohlídka zahrnuje přízemí zámku – zámeckou stříbrnici, pokoje kapucínů, oratoř zámecké kaple, lovecké pokoje a hlavní nádvoří. Součástí tohoto okruhu je i sklepení, kde jsou pohádkové bytosti a strašidla.
Duchcov;max. 45 osob;Okouzleni antikou;délka 30 minut;V dubnu otevřeno o víkendy a Velikonoce. Vydejte se s námi na cestu za poznáním antického světa. Objevíte svět antických památek, seznámíte se s bohy a hrdiny antických bájí. Z barokní zahrady duchcovského zámku zavítáte přímo do země Vulkána a působivých krajin, které ovlivnily evropskou civilizaci a kulturu.
Pernštejn;max. 35 osob;Od gotiky do 20. století (základní okruh);délka 80 minut;Prohlídkový okruh Od gotiky do 20. století provádí návštěvníka všemi důležitými prostorami a obdobími hradního paláce a poskytuje celkový přehled o vývoji hradu. Rezervace není povinná, ale pokud nechcete čekat, doporučujeme ji. Termíny prohlídek dle okamžitého zájmu. Čas poslední prohlídky není možné z provozních důvodů rezervovat, doporučujeme však informovat se telefonicky o volné kapacitě míst na tento čas. Není povolen vstup se zvířaty, ani nesenými, či v zavazadlech. Není povolen vstup s většími zavazadly a zavazadly nesenými na zádech, lze je před prohlídkou uložit v šatně. S průvodcem.
Telč;max. 20 osob;Obytné místnosti posledních majitelů zámku;délka 40 minut;Obytné místnosti posledních majitelů zámku Podstatzky-Lichtensteina se nachází v prvním patře severní části zámku. Zařízení místností je v původním stavu a podávají významné svědectví o podobě šlechtických interiérů z konce 19. století a začátku 20. století. Prohlídková trasa byla zpřístupněna veřejnosti v roce 1994.
Hořovice;max. 25 osob;Nový zámek;délka 90 minut;"Základní prohlídkový okruh. Tato prohlídka obsahuje trasu ""Život na panském sídle"" rozšířenou o ostatní salóny tzv. čestného patra. Uvidíte všechny autenticky vybavené reprezentační, společenské a soukromé pokoje v patře a prostory pro služebnictvo v přízemí. Součástí prohlídky je kaple, apartmá knížete, apartmá kněžny, Recepční sál, soukromé pokoje posledních majitelů v jižním křídle, jídelní výtah ... Vzhledem k rozsahu a délce prohlídky nedoporučujeme návštěvu dětí a obtížně se pohybujících osob."
Litomyšl;max. 20 osob;Novinky po rekonstrukci;délka 30 minut;Prohlídka vybraných historických interiérů 2. patra, které prošlo rekonstrukcí a poprvé se otevírá pro veřejnost. Interiéry z doby hraběcí rodiny Valdštejnů zahrnují nejstarší divadelní sál z 60. let 18. století, apartmá pro hosty Valdštejnů (salon, pracovna, ložnice s arkýřovou kaplí) a panskou oratoř.
Sychrov;max. 20 osob;Návštěva u kněžny Adély;délka 25 minut;Časově méně náročný prohlídkový okruh představující vybrané interiéry dámského apartmá a reprezentační části zámku.
Valtice;max. 50 osob;Národní soutěž vín a degustační expozice – SALON VÍN České republiky;délka 120 minut;Každoročně obnovovaná expozice nejlepších sta vín z celé České republiky, umístěná ve sklepních prostorách státního zámku ve Valticích je jediným zařízením svého rozsahu u nás.
Invalidovna;neomezeně;Nádvoří;délka 0 minut;Nádvoří objektu je během návštěvnické sezóny volně přístupné od pondělí do pátku v čase od 10-16 hodin.
Rabí;neomezeně;NÁDVOŘÍ;délka 30 minut;VSTUP NA VELKÉ HRADNÍ NÁDVOŘÍ
Karlštejn;max. 6 osob;Na kafe s kastelánem (mimořádný okruh);délka 180 minut;"Kastelán hradu Karlštejn Ing. Lukáš Kunst Vás zve ""Na Kafe s kastelánem"". Mimořádnou prohlídkou celého hradního areálu Vás provede kastelán osobně a představí tak jeden ze symbolů české státnosti – hrad císaře Karla IV. z jiného úhlu pohledu. Obsahem bude nejenom historie hradu, soukromé a reprezentační prostory, posvátné prostory s kaplí svatého Kříže včetně presbyteria, ale také třeba témata jako návštěvnický provoz, nepřístupné prostory, jižní parkán, stavební úpravy v minulosti, stavební obnova probíhající (projekt IROP)... Zkrátka můžete s kastelánem strávit zajímavé odpoledne a podvečer na Karlštejně. Součástí prohlídky bude nejenom káva a zákusek, ale také welcome drink a malé občerstvení. Kapacita prohlídky je omezena na 6 osob. Rezervace na prohlídku se nevyřizují, vstupenky je možno koupit v předprodeji na pokladně hradu nebo on-line."
Křivoklát;max. 30 osob;Na hradby a velká věž;délka 20 minut;Volný prohlídkový okruh bez průvodce. Prohlídka hradeb a expozice ve velké věži, spojená s vyhlídkou do okolí hradu. V případě nepříznivého počasí je okruh uzavřen.
Vimperk;neomezeně;Muzeum Vimperska;délka 45 minut;Vimpersko osmnáctkrát jinak
Rožmberk;max. 25 osob;Muzeum hrdelního soudnictví;délka 20 minut;Historie hrdelního soudnictví a útrpného práva.
Kynžvart;max. 25 osob;Muzeum a kabinet kuriozit (základní okruh);délka 45 minut;Rádi vás přivítáme v jednom z nejstarších soukromých muzeí na světě – letos již od března. Kynžvartské zámecké muzeum nabízí unikátní sběratelské předměty nejen ze sbírek kancléře Metternicha a jeho potomků, ale také ze sbírkové činnosti Karla Hussa, posledního chebského kata a zároveň prvního správce zámeckého muzea.
Bučovice;max. 45 osob;Moravský aristokrat v labyrintu světa;délka 30 minut;Expozice Moravský aristokrat v labyrintu světa je věnována světu moravské renesanční aristokracie – světu náboženské tolerance, obezřetné vlády stavů hájících zemská práva a všeobecného kulturního a hospodářského rozkvětu. Otevřena je od 30. června 2017.
Lednice;neomezeně;Minaret;délka 45 minut;Minaret nebo také Turecká věž je stavba v ose zámku. Toto atraktivní dílo bylo zbudováno Aloisem Josefem I. podle plánů architekta Josefa Hardtmutha na přelomu 18. a 19. století. Je výjimečnou stavbou tohoto charakteru v Evropě a se svými téměř 60 metry patří na kontinentě mezi nejvyšší.
Bučovice;max. 45 osob;Mimořádný okruh: KVĚTINOVÉ VÝSTAVY a HRANÉ PROHLÍDKY;délka 45 minut;Jedná se o prohlídku s doprovodným programem, jež je doplněna tradiční květinovou výstavou (zpravidla na začátku sezóny), také kostýmované divadelní prohlídky nebo mimořádné prohlídky běžně nepřístupných prostor(věž s hodinovým strojem, části půd a sklepů). Prohlídková trasa je totožná s prohlídkou I. Reprezentační sály. V době konání doprovodného programu nelze uplatňovat ceny na základní okruh.
Ploskovice;max. 15 osob;Medvědi na zámku – výstava;délka 0 minut;Výstava nejen pro nejmenší návštěvníky zámku.
Lysice;max. 50 osob;Marie von Ebner Eschenbach Žena tří století (individuální okruh);délka 50 minut;Menší výstavní síň nabízí stálou expozici o spisovatelce Marii von Ebner Eschenbach. Otevírací doba je shodná s otevírací dobou zámku.
Konopiště;max. 14 osob;Lovecká trasa;délka 65 minut;Unikátní prohlídka loveckých expozic včetně exotických trofejí, sbírky loveckých zbraní a seznámení s tradicí honů na Konopišti. Průřez okruhy s expozicemi loveckých trofejí a slavné sbírky zbraní.
Švihov;max. 4 osob;LOĎKA – Po vodě kolem hradeb;délka 30 minut;Půjčte si loďku a užijte si projížďku po vodním příkopu švihovského hradu. Máte jedinečnou možnost zažít vodní hrad z jiné perspektivy a odnést si tak netradiční pocit z návštěvy. Plavba proti proudu vás v osmi zastaveních seznámí s obranou hradu, který nebyl na kopci, a proto musel využít vodu. Cestou také poznáte zajímavosti, kterých byste si jinak ani nevšimli.
Veveří;max. 15 osob;Lev a orlice. Moravští Lucemburkové a jejich hrad.;délka 45 minut;Výstava věnovaná moravské větvi rodu Lucemburků.
Český Krumlov;max. 20 osob;Letohrádek Bellarie;délka 60 minut;"Vzácně dochovaná a velmi hodnotná rokoková zahradní stavba, jediná svého druhu v České republice, prošla v letech 2023 - 2024 rozsáhlou rekonstrukcí. V podzemním patře si prohlédnete barokní kuchyni a přípravnu jídel se zdvižemi z poloviny 18. století - větší zdviž umožňovala transport pokrmů z kuchyně přes tři podlaží do Horního sálu, menší zdviž, tzv. kouzelný stolek"", zvedala pokrmy do přípravny a po naaranžování do Jídelny. Unikátem je také Grotta (umělá jeskyně), jejíž stěny zdobí štuková výzdoba se stovkami lastur škeblí, úlomky skel a zrcátek. Stěny Dolního a Horního sálu zdobí nástěnné malby Františka Jakuba Prokyše z poloviny 18. století. Předchůdce dnešního letohrádku, pavilón na vyvýšené terase při severozápadní zdi zámecké zahrady, vznikl v letech 1690 - 1692 za vlády posledních Eggenberků. Do stávající rokokové podoby byl letohrádek přestavěn v letech 1755 - 1757 za vlády knížete Josefa I. Adama ze Schwarzenbergu. Zatímco dolní patro letohrádku zůstalo téměř beze změny, nástavba horního patra s otevřenou galerií proměnila stavbu v duchu dolnorakouského rokoka. Možnou předlohou se zdá být palác Evžena Savojského Horní Belveder."
